00001.jpg,39,116,569,375,4
00003.jpg,85,109,601,381,13
00004.jpg,621,393,1484,1096,23
00005.jpg,14,36,133,99,18
00006.jpg,259,289,515,416,20
00007.jpg,88,80,541,397,13
00008.jpg,73,79,591,410,13
00009.jpg,20,126,1269,771,36
00010.jpg,21,110,623,367,10
00012.jpg,6,62,499,286,46
00013.jpg,30,36,418,307,23
00014.jpg,31,246,778,540,13
00015.jpg,32,77,589,379,48
00016.jpg,27,49,611,396,38
00017.jpg,39,52,233,150,4
00018.jpg,3,8,190,147,10
00019.jpg,247,287,1366,761,47
00020.jpg,17,281,961,596,10
00021.jpg,17,156,695,375,11
00022.jpg,212,538,1893,1131,5
00024.jpg,53,126,973,621,37
00029.jpg,28,139,1564,1126,43
00030.jpg,82,109,874,521,48
00031.jpg,55,318,446,564,29
00036.jpg,138,41,521,223,16
00037.jpg,31,87,616,344,5
00039.jpg,53,113,614,350,17
00040.jpg,214,110,660,403,24
00041.jpg,61,55,566,408,4
00043.jpg,22,39,588,362,19
00044.jpg,220,193,537,364,5
00045.jpg,12,108,489,297,46
00048.jpg,142,69,753,451,41
00049.jpg,166,543,887,903,39
00050.jpg,20,96,564,341,6
00052.jpg,39,29,774,395,27
00053.jpg,161,191,425,307,4
00055.jpg,80,120,582,391,6
00056.jpg,32,48,472,267,9
00058.jpg,11,35,256,173,10
00059.jpg,68,91,607,354,13
00060.jpg,129,120,345,269,21
00062.jpg,19,21,425,265,47
00063.jpg,175,330,928,647,16
00064.jpg,97,39,925,700,46
00065.jpg,63,175,417,320,3
00066.jpg,30,39,221,125,4
00067.jpg,129,89,594,432,18
00068.jpg,32,43,598,350,19
00069.jpg,142,124,675,445,2
00071.jpg,8,12,639,299,22
00072.jpg,92,271,1178,749,13
00073.jpg,15,12,314,230,18
00074.jpg,14,12,309,223,18
00075.jpg,45,74,522,253,46
00076.jpg,12,27,284,166,10
00078.jpg,36,88,611,417,6
00079.jpg,165,126,749,425,23
00081.jpg,10,55,540,271,3
00083.jpg,55,48,294,205,4
00084.jpg,27,67,620,474,18
00086.jpg,119,300,1416,871,27
00088.jpg,171,176,2373,1751,37
00091.jpg,49,57,494,419,35
00092.jpg,101,84,492,272,23
00094.jpg,19,60,783,440,18
00098.jpg,65,37,578,360,9
00099.jpg,27,60,486,364,5
00100.jpg,22,180,454,355,10
00101.jpg,70,39,940,742,48
00102.jpg,99,130,396,222,17
00103.jpg,85,107,609,381,10
00104.jpg,1,76,480,315,10
00106.jpg,69,75,236,161,35
00108.jpg,7,27,212,147,13
00109.jpg,18,14,248,168,19
00110.jpg,19,2,591,387,43
00111.jpg,52,6,759,513,43
00113.jpg,91,148,700,582,23
00114.jpg,19,72,624,397,10
00116.jpg,132,120,667,401,18
00117.jpg,84,44,663,342,6
00119.jpg,173,370,1207,960,27
00120.jpg,3,19,195,114,35
00122.jpg,72,67,233,176,5
00123.jpg,151,568,1954,1271,26
00124.jpg,14,88,271,178,9
00125.jpg,135,761,1894,1353,5
00126.jpg,44,123,778,487,10
00127.jpg,69,103,537,322,11
00129.jpg,50,80,592,273,23
00130.jpg,95,161,543,368,25
00131.jpg,275,195,863,474,37
00132.jpg,99,78,557,389,13
00133.jpg,11,126,426,360,23
00134.jpg,1,2,267,185,35
00135.jpg,19,735,2669,2192,10
00136.jpg,21,35,279,195,19
00138.jpg,130,282,1425,900,10
00139.jpg,72,215,628,481,44
00140.jpg,62,95,633,434,47
00141.jpg,13,106,476,260,6
00143.jpg,72,51,566,412,29
00145.jpg,135,36,1181,885,23
00146.jpg,2,5,298,162,6
00148.jpg,24,78,608,379,46
00149.jpg,34,1,242,179,13
00151.jpg,8,37,294,150,2
00153.jpg,6,138,627,361,5
00155.jpg,76,4,1585,1120,27
00156.jpg,22,21,211,139,40
00158.jpg,75,236,1196,846,43
00160.jpg,114,46,546,287,6
00162.jpg,38,66,548,385,41
00164.jpg,13,29,239,174,5
00165.jpg,27,65,490,220,5
00166.jpg,4,69,402,245,18
00171.jpg,41,42,262,170,4
00172.jpg,6,108,493,267,35
00173.jpg,26,61,508,342,19
00174.jpg,13,29,249,159,10
00175.jpg,69,120,739,502,18
00177.jpg,98,22,650,302,8
00179.jpg,42,113,601,439,29
00180.jpg,3,40,297,157,24
00181.jpg,84,256,913,752,10
00182.jpg,43,226,1001,630,37
00183.jpg,2,9,196,125,35
00186.jpg,6,72,255,178,21
00190.jpg,198,416,1271,935,7
00192.jpg,37,24,259,212,46
00196.jpg,26,46,266,213,47
00197.jpg,47,102,492,371,18
00198.jpg,91,121,574,357,2
00199.jpg,151,298,1285,835,47
00200.jpg,30,55,301,187,4
00201.jpg,21,1,386,200,4
00202.jpg,233,217,1228,807,13
00203.jpg,30,167,945,545,46
00204.jpg,11,61,284,151,22
00205.jpg,29,70,612,356,4
00206.jpg,117,222,558,434,3
00207.jpg,31,119,438,258,13
00209.jpg,58,136,973,636,10
00210.jpg,8,80,639,366,39
00211.jpg,11,47,598,365,41
00213.jpg,37,62,261,191,48
00214.jpg,70,78,915,640,18
00215.jpg,38,50,221,138,10
00216.jpg,21,45,133,88,19
00217.jpg,45,39,594,444,4
00218.jpg,39,94,337,245,11
00219.jpg,89,1,597,316,4
00220.jpg,16,103,462,347,18
00222.jpg,89,58,545,338,49
00223.jpg,42,115,299,288,15
00226.jpg,46,15,202,156,18
00228.jpg,237,156,896,365,24
00229.jpg,5,46,255,138,23
00230.jpg,223,542,3692,2478,44
00231.jpg,73,109,606,374,18
00233.jpg,276,124,1495,951,48
00234.jpg,99,364,1211,954,23
00235.jpg,59,63,549,404,18
00237.jpg,11,10,396,265,10
00238.jpg,163,91,527,346,5
00239.jpg,4,19,255,172,4
00241.jpg,32,59,1011,709,37
00242.jpg,10,53,273,167,16
00244.jpg,21,93,479,331,2
00247.jpg,47,125,850,468,23
00249.jpg,6,155,631,450,28
00250.jpg,11,35,246,186,47
00251.jpg,576,466,2994,1953,36
00252.jpg,37,50,253,158,17
00253.jpg,51,105,579,335,8
00254.jpg,21,11,296,141,23
00255.jpg,29,78,734,396,2
00258.jpg,34,86,227,166,9
00261.jpg,32,79,378,221,4
00262.jpg,158,132,501,293,16
00263.jpg,177,299,730,673,6
00264.jpg,42,72,472,299,10
00265.jpg,15,74,387,195,10
00267.jpg,25,133,620,374,7
00268.jpg,49,53,596,398,10
00269.jpg,29,192,605,391,45
00271.jpg,11,23,141,80,40
00273.jpg,37,65,458,321,10
00274.jpg,31,69,435,310,4
00276.jpg,75,93,529,360,23
00278.jpg,1,38,251,135,30
00280.jpg,3,33,261,176,18
00282.jpg,20,97,460,356,10
00283.jpg,112,190,664,342,17
00284.jpg,49,101,942,619,13
00287.jpg,56,299,1266,721,13
00288.jpg,60,46,258,138,46
00290.jpg,68,30,620,506,23
00291.jpg,27,147,573,471,24
00292.jpg,133,73,806,251,3
00293.jpg,24,27,936,380,16
00295.jpg,150,114,524,433,8
00296.jpg,18,115,618,456,19
00298.jpg,49,67,362,245,41
00299.jpg,24,66,982,711,27
00301.jpg,52,36,247,189,19
00304.jpg,14,29,235,168,30
00307.jpg,171,63,1187,894,10
00309.jpg,50,122,589,338,22
00312.jpg,53,79,627,464,10
